"","strain","hit_score.atoA","hit_id.atoA","description.atoA","hit_score.atoD","hit_id.atoD","description.atoD","hit_score.bcd","hit_id.bcd","description.bcd","hit_score.kal","hit_id.kal","description.kal","hit_score.kamA","hit_id.kamA","description.kamA","hit_score.kamD","hit_id.kamD","description.kamD","hit_score.kamE","hit_id.kamE","description.kamE","hit_score.kce","hit_id.kce","description.kce","hit_score.kdd","hit_id.kdd","description.kdd","pathway"
"65","Alistipes-putredinis-DSM-17216-MAF-2",376.8,"1_1930/1-218","Alistipes-putredinis-DSM-17216-MAF-2_atoA",355.7,"1_1921/1-214","Alistipes-putredinis-DSM-17216-MAF-2_atoD",701.2,"1_1933/1-379","Alistipes-putredinis-DSM-17216-MAF-2_bcd",234.2,"1_1922/1-126","Alistipes-putredinis-DSM-17216-MAF-2_kal",701.8,"1_1925/9-418","Alistipes-putredinis-DSM-17216-MAF-2_kamA",996.1,"1_1928/4-519","Alistipes-putredinis-DSM-17216-MAF-2_kamD",491,"1_1929/1-260","Alistipes-putredinis-DSM-17216-MAF-2_kamE",450.9,"1_1923/1-273","Alistipes-putredinis-DSM-17216-MAF-2_kce",618.1,"1_1924/1-346","Alistipes-putredinis-DSM-17216-MAF-2_kdd","lysine"
"326","Butyricimonas-virosa-DSM-23226-MAF-2",378.5,"1_641/1-217","Butyricimonas-virosa-DSM-23226-MAF-2_atoA",358.9,"1_631/1-214","Butyricimonas-virosa-DSM-23226-MAF-2_atoD",703.6,"1_643/1-379","Butyricimonas-virosa-DSM-23226-MAF-2_bcd",235.8,"1_632/1-127","Butyricimonas-virosa-DSM-23226-MAF-2_kal",707,"1_636/3-413","Butyricimonas-virosa-DSM-23226-MAF-2_kamA",999.7,"1_639/3-517","Butyricimonas-virosa-DSM-23226-MAF-2_kamD",492.6,"1_640/1-261","Butyricimonas-virosa-DSM-23226-MAF-2_kamE",436.1,"1_633/1-273","Butyricimonas-virosa-DSM-23226-MAF-2_kce",632.5,"1_634/2-347","Butyricimonas-virosa-DSM-23226-MAF-2_kdd","lysine"
"335","Butyricimonas_faecihominis",376.3,"NZ_JACIES010000002.1_456/1-217","Butyricimonas_faecihominis_atoA",358.5,"NZ_JACIES010000002.1_446/1-214","Butyricimonas_faecihominis_atoD",706.9,"NZ_JACIES010000002.1_458/1-379","Butyricimonas_faecihominis_bcd",236.2,"NZ_JACIES010000002.1_447/1-127","Butyricimonas_faecihominis_kal",706.4,"NZ_JACIES010000002.1_451/3-413","Butyricimonas_faecihominis_kamA",1000,"NZ_JACIES010000002.1_454/3-517","Butyricimonas_faecihominis_kamD",494,"NZ_JACIES010000002.1_455/1-261","Butyricimonas_faecihominis_kamE",437.5,"NZ_JACIES010000002.1_448/1-273","Butyricimonas_faecihominis_kce",632.5,"NZ_JACIES010000002.1_449/2-347","Butyricimonas_faecihominis_kdd","lysine"
"344","Butyricimonas_paravirosa",376.3,"NZ_BMPA01000012.1_50/1-217","Butyricimonas_paravirosa_atoA",358.5,"NZ_BMPA01000012.1_60/1-214","Butyricimonas_paravirosa_atoD",704.8,"NZ_BMPA01000012.1_48/1-379","Butyricimonas_paravirosa_bcd",237,"NZ_BMPA01000012.1_59/1-127","Butyricimonas_paravirosa_kal",706.4,"NZ_BMPA01000012.1_55/3-413","Butyricimonas_paravirosa_kamA",999.1,"NZ_BMPA01000012.1_52/3-517","Butyricimonas_paravirosa_kamD",492.6,"NZ_BMPA01000012.1_51/1-261","Butyricimonas_paravirosa_kamE",438.5,"NZ_BMPA01000012.1_58/1-273","Butyricimonas_paravirosa_kce",632.5,"NZ_BMPA01000012.1_57/2-347","Butyricimonas_paravirosa_kdd","lysine"
"353","Butyricimonas_synergistica",372.1,"NZ_KB903359.1_1568/1-217","Butyricimonas_synergistica_atoA",361,"NZ_KB903359.1_1558/1-214","Butyricimonas_synergistica_atoD",701.9,"NZ_KB903359.1_1570/1-379","Butyricimonas_synergistica_bcd",235.9,"NZ_KB903359.1_1559/1-127","Butyricimonas_synergistica_kal",710.7,"NZ_KB903359.1_1563/3-413","Butyricimonas_synergistica_kamA",999.3,"NZ_KB903359.1_1566/3-517","Butyricimonas_synergistica_kamD",493.4,"NZ_KB903359.1_1567/1-261","Butyricimonas_synergistica_kamE",439.3,"NZ_KB903359.1_1560/1-273","Butyricimonas_synergistica_kce",632.8,"NZ_KB903359.1_1561/2-347","Butyricimonas_synergistica_kdd","lysine"
"375","Cetobacterium_somerae",373.8,"NZ_KI518068.1_21/5-220","Cetobacterium_somerae_atoA",339,"NZ_KI518068.1_20/1-214","Cetobacterium_somerae_atoD",679.6,"NZ_KI518113.1_3/1-381","Cetobacterium_somerae_bcd",226.9,"NZ_KI518068.1_15/1-127","Cetobacterium_somerae_kal",688.1,"NZ_KI518068.1_12/9-412","Cetobacterium_somerae_kamA",995,"NZ_KI518068.1_9/3-517","Cetobacterium_somerae_kamD",477.2,"NZ_KI518068.1_8/1-261","Cetobacterium_somerae_kamE",449.5,"NZ_KI518068.1_14/1-272","Cetobacterium_somerae_kce",598.4,"NZ_KI518068.1_13/1-344","Cetobacterium_somerae_kdd","lysine"
"458","Clostridium_felsineum",348.5,"NZ_CP096980.1_2178/4-220","Clostridium_felsineum_atoA",344.2,"NZ_CP096980.1_2177/3-216","Clostridium_felsineum_atoD",693,"NZ_CP096980.1_1329/1-377","Clostridium_felsineum_bcd",220.6,"NZ_CP096980.1_275/1-127","Clostridium_felsineum_kal",676.3,"NZ_CP096980.1_272/3-416","Clostridium_felsineum_kamA",954.7,"NZ_CP096980.1_269/1-515","Clostridium_felsineum_kamD",473.7,"NZ_CP096980.1_268/1-261","Clostridium_felsineum_kamE",422.4,"NZ_CP096980.1_274/1-271","Clostridium_felsineum_kce",581.2,"NZ_CP096980.1_273/1-344","Clostridium_felsineum_kdd","lysine"
"474","Clostridium_lituseburense",355.1,"NZ_FNGW01000001.1_129/2-212","Clostridium_lituseburense_atoA",350.7,"NZ_FNGW01000001.1_130/1-215","Clostridium_lituseburense_atoD",701.2,"NZ_FNGW01000003.1_235/3-373","Clostridium_lituseburense_bcd",233.6,"NZ_FNGW01000001.1_132/1-125","Clostridium_lituseburense_kal",690.9,"NZ_FNGW01000001.1_127/4-410","Clostridium_lituseburense_kamA",971.5,"NZ_FNGW01000001.1_124/1-517","Clostridium_lituseburense_kamD",455.7,"NZ_FNGW01000001.1_123/2-259","Clostridium_lituseburense_kamE",444.9,"NZ_FNGW01000001.1_131/1-272","Clostridium_lituseburense_kce",592.8,"NZ_FNGW01000001.1_128/2-343","Clostridium_lituseburense_kdd","lysine"
"489","Clostridium_putrefaciens",374.1,"NZ_UFWZ01000001.1_2738/8-220","Clostridium_putrefaciens_atoA",323.1,"NZ_UFWZ01000001.1_2737/1-215","Clostridium_putrefaciens_atoD",696,"NZ_UFWZ01000001.1_2203/1-378","Clostridium_putrefaciens_bcd",225.1,"NZ_UFWZ01000001.1_2735/1-126","Clostridium_putrefaciens_kal",693.6,"NZ_UFWZ01000001.1_2740/3-416","Clostridium_putrefaciens_kamA",964.6,"NZ_UFWZ01000001.1_2743/1-517","Clostridium_putrefaciens_kamD",483.2,"NZ_UFWZ01000001.1_2744/1-260","Clostridium_putrefaciens_kamE",451.7,"NZ_UFWZ01000001.1_2736/1-273","Clostridium_putrefaciens_kce",603.6,"NZ_UFWZ01000001.1_2739/1-344","Clostridium_putrefaciens_kdd","lysine"
"507","Clostridium_senegalense",384.7,"NZ_JAHLNC010000004.1_18/1-218","Clostridium_senegalense_atoA",367.8,"NZ_JAHLNC010000004.1_17/1-216","Clostridium_senegalense_atoD",707.3,"NZ_JAHLNC010000019.1_8/1-379","Clostridium_senegalense_bcd",236.5,"NZ_JAHLNC010000011.1_8/1-126","Clostridium_senegalense_kal",698.7,"NZ_JAHLNC010000011.1_5/3-413","Clostridium_senegalense_kamA",998.6,"NZ_JAHLNC010000011.1_2/1-517","Clostridium_senegalense_kamD",485.6,"NZ_JAHLNC010000011.1_1/1-261","Clostridium_senegalense_kamE",459.8,"NZ_JAHLNC010000011.1_7/1-273","Clostridium_senegalense_kce",607.7,"NZ_JAHLNC010000011.1_6/1-347","Clostridium_senegalense_kdd","lysine"
"521","Clostridium_sticklandii",378.4,"NC_014614.1_1103/2-214","Clostridium_sticklandii_atoA",351.3,"NC_014614.1_1102/1-215","Clostridium_sticklandii_atoD",702.4,"NC_014614.1_1114/1-379","Clostridium_sticklandii_bcd",228.1,"NC_014614.1_1361/1-126","Clostridium_sticklandii_kal",678.4,"NC_014614.1_1358/6-412","Clostridium_sticklandii_kamA",977.4,"NC_014614.1_1355/1-515","Clostridium_sticklandii_kamD",464.7,"NC_014614.1_1354/1-261","Clostridium_sticklandii_kamE",452.6,"NC_014614.1_1360/1-272","Clostridium_sticklandii_kce",606.9,"NC_014614.1_1359/1-343","Clostridium_sticklandii_kdd","lysine"
"650","Eubacterium_ramulus",364,"NZ_CYYA01000003.1_67/1-217","Eubacterium_ramulus_atoA",289.6,"NZ_CYYA01000003.1_66/4-223","Eubacterium_ramulus_atoD",674.1,"NZ_CYYA01000021.1_23/1-388","Eubacterium_ramulus_bcd",235.7,"NZ_CYYA01000014.1_30/4-129","Eubacterium_ramulus_kal",690.7,"NZ_CYYA01000014.1_33/3-414","Eubacterium_ramulus_kamA",973.8,"NZ_CYYA01000014.1_34/1-516","Eubacterium_ramulus_kamD",473.7,"NZ_CYYA01000014.1_35/2-259","Eubacterium_ramulus_kamE",460.7,"NZ_CYYA01000014.1_31/1-272","Eubacterium_ramulus_kce",562.5,"NZ_CYYA01000014.1_32/6-346","Eubacterium_ramulus_kdd","lysine"
"682","Flavonifractor_plautii",352.8,"NZ_CP048436.1_81/1-218","Flavonifractor_plautii_atoA",305.2,"NZ_CP048436.1_82/3-227","Flavonifractor_plautii_atoD",708.4,"NZ_CP048436.1_1250/1-636","Flavonifractor_plautii_bcd",223.8,"NZ_CP048436.1_2842/6-129","Flavonifractor_plautii_kal",693.5,"NZ_CP048436.1_3624/4-416","Flavonifractor_plautii_kamA",961.3,"NZ_CP048436.1_3625/3-518","Flavonifractor_plautii_kamD",452.1,"NZ_CP048436.1_3626/1-260","Flavonifractor_plautii_kamE",429.1,"NZ_CP048436.1_3622/1-271","Flavonifractor_plautii_kce",586.4,"NZ_CP048436.1_3623/2-345","Flavonifractor_plautii_kdd","lysine"
"691","Fusobacterium_gonidiaformans",368.9,"NZ_CP028106.1_618/4-219","Fusobacterium_gonidiaformans_atoA",363.7,"NZ_CP028106.1_617/1-215","Fusobacterium_gonidiaformans_atoD",702.4,"NZ_CP028106.1_697/1-636","Fusobacterium_gonidiaformans_bcd",235,"NZ_CP028106.1_978/1-126","Fusobacterium_gonidiaformans_kal",702,"NZ_CP028106.1_981/3-410","Fusobacterium_gonidiaformans_kamA",977.2,"NZ_CP028106.1_984/3-519","Fusobacterium_gonidiaformans_kamD",473.2,"NZ_CP028106.1_985/1-261","Fusobacterium_gonidiaformans_kamE",464.1,"NZ_CP028106.1_979/1-270","Fusobacterium_gonidiaformans_kce",598.5,"NZ_CP028106.1_980/1-344","Fusobacterium_gonidiaformans_kdd","lysine"
"704","Fusobacterium_necrophorum",366.7,"NZ_VZOZ01000004.1_153/4-219","Fusobacterium_necrophorum_atoA",368.4,"NZ_VZOZ01000004.1_154/1-215","Fusobacterium_necrophorum_atoD",704,"NZ_VZOZ01000002.1_5/1-636","Fusobacterium_necrophorum_bcd",234.9,"NZ_VZOZ01000008.1_59/1-126","Fusobacterium_necrophorum_kal",702.3,"NZ_VZOZ01000008.1_62/3-410","Fusobacterium_necrophorum_kamA",977.9,"NZ_VZOZ01000008.1_65/3-519","Fusobacterium_necrophorum_kamD",473.6,"NZ_VZOZ01000008.1_66/1-261","Fusobacterium_necrophorum_kamE",461.7,"NZ_VZOZ01000008.1_60/1-270","Fusobacterium_necrophorum_kce",599.2,"NZ_VZOZ01000008.1_61/1-344","Fusobacterium_necrophorum_kdd","lysine"
"713","Fusobacterium_nucleatum",365.7,"NZ_LN831027.1_470/3-217","Fusobacterium_nucleatum_atoA",357.1,"NZ_LN831027.1_469/3-216","Fusobacterium_nucleatum_atoD",701.6,"NZ_LN831027.1_1977/1-635","Fusobacterium_nucleatum_bcd",233.5,"NZ_LN831027.1_457/1-126","Fusobacterium_nucleatum_kal",705.9,"NZ_LN831027.1_460/1-419","Fusobacterium_nucleatum_kamA",995.4,"NZ_LN831027.1_463/2-516","Fusobacterium_nucleatum_kamD",477.9,"NZ_LN831027.1_464/1-261","Fusobacterium_nucleatum_kamE",471.2,"NZ_LN831027.1_458/1-271","Fusobacterium_nucleatum_kce",608.4,"NZ_LN831027.1_459/1-344","Fusobacterium_nucleatum_kdd","lysine"
"722","Fusobacterium_periodonticum",365.3,"NZ_GG665893.1_157/3-215","Fusobacterium_periodonticum_atoA",363.5,"NZ_GG665893.1_158/3-216","Fusobacterium_periodonticum_atoD",702.7,"NZ_GG665895.1_21/1-636","Fusobacterium_periodonticum_bcd",232.6,"NZ_GG665893.1_169/1-126","Fusobacterium_periodonticum_kal",703.7,"NZ_GG665893.1_166/1-419","Fusobacterium_periodonticum_kamA",994.9,"NZ_GG665893.1_163/2-516","Fusobacterium_periodonticum_kamD",479.3,"NZ_GG665893.1_162/1-261","Fusobacterium_periodonticum_kamE",470.9,"NZ_GG665893.1_168/1-271","Fusobacterium_periodonticum_kce",602.3,"NZ_GG665893.1_167/1-344","Fusobacterium_periodonticum_kdd","lysine"
"731","Fusobacterium_russii",348.6,"NZ_KB906926.1_29/3-214","Fusobacterium_russii_atoA",363.2,"NZ_KB906926.1_28/3-216","Fusobacterium_russii_atoD",700.9,"NZ_KB906906.1_29/1-633","Fusobacterium_russii_bcd",237.1,"NZ_KB906912.1_5/1-126","Fusobacterium_russii_kal",695.5,"NZ_KB906912.1_8/3-419","Fusobacterium_russii_kamA",994.8,"NZ_KB906912.1_11/1-518","Fusobacterium_russii_kamD",475.9,"NZ_KB906912.1_12/1-261","Fusobacterium_russii_kamE",462,"NZ_KB906912.1_6/1-271","Fusobacterium_russii_kce",599,"NZ_KB906912.1_7/1-344","Fusobacterium_russii_kdd","lysine"
"740","Fusobacterium_varium",372,"NZ_CP028103.1_1540/4-219","Fusobacterium_varium_atoA",366.2,"NZ_CP028103.1_1539/3-215","Fusobacterium_varium_atoD",700.3,"NZ_CP028103.1_1632/1-635","Fusobacterium_varium_bcd",234.5,"NZ_CP028103.1_2769/1-126","Fusobacterium_varium_kal",714.2,"NZ_CP028103.1_2766/3-414","Fusobacterium_varium_kamA",1001.7,"NZ_CP028103.1_2763/1-517","Fusobacterium_varium_kamD",478.2,"NZ_CP028103.1_2762/1-261","Fusobacterium_varium_kamE",468,"NZ_CP028103.1_2768/1-271","Fusobacterium_varium_kce",600.1,"NZ_CP028103.1_2767/1-345","Fusobacterium_varium_kdd","lysine"
"778","Intestinimonas_butyriciproducens",349.3,"NZ_MJII01000001.1_2212/1-219","Intestinimonas_butyriciproducens_atoA",319.9,"NZ_MJII01000001.1_2017/1-213","Intestinimonas_butyriciproducens_atoD",698.5,"NZ_MJII01000001.1_1425/1-634","Intestinimonas_butyriciproducens_bcd",234.3,"NZ_MJII01000001.1_209/4-128","Intestinimonas_butyriciproducens_kal",690.2,"NZ_MJII01000001.1_212/6-422","Intestinimonas_butyriciproducens_kamA",973.8,"NZ_MJII01000001.1_213/3-517","Intestinimonas_butyriciproducens_kamD",450.2,"NZ_MJII01000001.1_214/1-260","Intestinimonas_butyriciproducens_kamE",416.7,"NZ_MJII01000001.1_2110/18-296","Intestinimonas_butyriciproducens_kce",582.6,"NZ_MJII01000001.1_211/2-345","Intestinimonas_butyriciproducens_kdd","lysine"
"824","Lachnoanaerobaculum_umeaense",328.9,"NZ_CP032364.1_2326/2-213","Lachnoanaerobaculum_umeaense_atoA",334.4,"NZ_CP032364.1_2325/19-232","Lachnoanaerobaculum_umeaense_atoD",693.5,"NZ_CP032364.1_1150/1-635","Lachnoanaerobaculum_umeaense_bcd",226.1,"NZ_CP032364.1_710/1-127","Lachnoanaerobaculum_umeaense_kal",688.7,"NZ_CP032364.1_713/6-417","Lachnoanaerobaculum_umeaense_kamA",965.8,"NZ_CP032364.1_714/1-515","Lachnoanaerobaculum_umeaense_kamD",464,"NZ_CP032364.1_715/1-260","Lachnoanaerobaculum_umeaense_kamE",455.3,"NZ_CP032364.1_711/1-272","Lachnoanaerobaculum_umeaense_kce",568.4,"NZ_CP032364.1_712/1-344","Lachnoanaerobaculum_umeaense_kdd","lysine"
"944","Odoribacter_laneus",380.1,"NZ_JH594596.1_2048/1-218","Odoribacter_laneus_atoA",354.3,"NZ_JH594596.1_2057/1-214","Odoribacter_laneus_atoD",698,"NZ_JH594596.1_2047/1-379","Odoribacter_laneus_bcd",236.3,"NZ_JH594596.1_2056/1-127","Odoribacter_laneus_kal",691.9,"NZ_JH594596.1_2053/3-411","Odoribacter_laneus_kamA",989.3,"NZ_JH594596.1_2050/3-515","Odoribacter_laneus_kamD",480.3,"NZ_JH594596.1_2049/1-261","Odoribacter_laneus_kamE",451.7,"NZ_JH594596.1_2055/1-272","Odoribacter_laneus_kce",628.6,"NZ_JH594596.1_2054/1-346","Odoribacter_laneus_kdd","lysine"
"953","Odoribacter_splanchnicus",379.3,"NZ_CP086000.1_1131/1-217","Odoribacter_splanchnicus_atoA",355.1,"NZ_CP086000.1_1140/1-214","Odoribacter_splanchnicus_atoD",698.9,"NZ_CP086000.1_1130/1-379","Odoribacter_splanchnicus_bcd",229.3,"NZ_CP086000.1_1139/1-123","Odoribacter_splanchnicus_kal",694.5,"NZ_CP086000.1_1136/3-411","Odoribacter_splanchnicus_kamA",995.3,"NZ_CP086000.1_1133/1-515","Odoribacter_splanchnicus_kamD",489.7,"NZ_CP086000.1_1132/1-261","Odoribacter_splanchnicus_kamE",437.8,"NZ_CP086000.1_1138/1-273","Odoribacter_splanchnicus_kce",626.7,"NZ_CP086000.1_1137/1-346","Odoribacter_splanchnicus_kdd","lysine"
"1023","Porphyromonas_asaccharolytica",354.7,"NC_015501.1_584/4-221","Porphyromonas_asaccharolytica_atoA",346.3,"NC_015501.1_575/1-213","Porphyromonas_asaccharolytica_atoD",676.3,"NC_015501.1_585/1-379","Porphyromonas_asaccharolytica_bcd",230.3,"NC_015501.1_576/1-123","Porphyromonas_asaccharolytica_kal",695.1,"NC_015501.1_579/3-414","Porphyromonas_asaccharolytica_kamA",971.7,"NC_015501.1_582/3-517","Porphyromonas_asaccharolytica_kamD",481.2,"NC_015501.1_583/1-260","Porphyromonas_asaccharolytica_kamE",422.8,"NC_015501.1_577/1-272","Porphyromonas_asaccharolytica_kce",629.4,"NC_015501.1_578/2-347","Porphyromonas_asaccharolytica_kdd","lysine"
"1032","Porphyromonas_endodontalis",363.3,"NZ_UGTE01000001.1_178/1-219","Porphyromonas_endodontalis_atoA",345.2,"NZ_UGTE01000001.1_187/1-214","Porphyromonas_endodontalis_atoD",682.6,"NZ_UGTE01000001.1_177/1-379","Porphyromonas_endodontalis_bcd",229.2,"NZ_UGTE01000001.1_186/1-123","Porphyromonas_endodontalis_kal",690.7,"NZ_UGTE01000001.1_183/3-415","Porphyromonas_endodontalis_kamA",982.1,"NZ_UGTE01000001.1_180/3-516","Porphyromonas_endodontalis_kamD",478,"NZ_UGTE01000001.1_179/1-260","Porphyromonas_endodontalis_kamE",427.8,"NZ_UGTE01000001.1_185/1-272","Porphyromonas_endodontalis_kce",627,"NZ_UGTE01000001.1_184/2-347","Porphyromonas_endodontalis_kdd","lysine"
"1041","Porphyromonas_gingivalis",365.1,"NC_010729.1_1118/1-219","Porphyromonas_gingivalis_atoA",360,"NC_010729.1_1109/1-213","Porphyromonas_gingivalis_atoD",682.6,"NC_010729.1_1119/1-379","Porphyromonas_gingivalis_bcd",238.8,"NC_010729.1_1110/3-128","Porphyromonas_gingivalis_kal",692.8,"NC_010729.1_1113/3-412","Porphyromonas_gingivalis_kamA",982.4,"NC_010729.1_1116/3-517","Porphyromonas_gingivalis_kamD",492.7,"NC_010729.1_1117/1-261","Porphyromonas_gingivalis_kamE",456.2,"NC_010729.1_1111/1-272","Porphyromonas_gingivalis_kce",627.2,"NC_010729.1_1112/2-347","Porphyromonas_gingivalis_kdd","lysine"
"1050","Porphyromonas_somerae",363.2,"NZ_AP025559.1_1613/4-221","Porphyromonas_somerae_atoA",334.1,"NZ_AP025559.1_1622/1-214","Porphyromonas_somerae_atoD",686.1,"NZ_AP025559.1_1612/1-379","Porphyromonas_somerae_bcd",230.7,"NZ_AP025559.1_1621/7-131","Porphyromonas_somerae_kal",674,"NZ_AP025559.1_1618/4-413","Porphyromonas_somerae_kamA",983.4,"NZ_AP025559.1_1615/3-518","Porphyromonas_somerae_kamD",475.1,"NZ_AP025559.1_1614/1-260","Porphyromonas_somerae_kamE",421.4,"NZ_AP025559.1_1620/1-272","Porphyromonas_somerae_kce",610.3,"NZ_AP025559.1_1619/4-348","Porphyromonas_somerae_kdd","lysine"
"1059","Porphyromonas_uenonis",354.8,"NZ_KI535308.1_94/4-221","Porphyromonas_uenonis_atoA",347.2,"NZ_KI535308.1_85/1-213","Porphyromonas_uenonis_atoD",676,"NZ_KI535308.1_95/1-379","Porphyromonas_uenonis_bcd",233.6,"NZ_KI535308.1_86/5-129","Porphyromonas_uenonis_kal",694.9,"NZ_KI535308.1_89/3-414","Porphyromonas_uenonis_kamA",970.2,"NZ_KI535308.1_92/3-517","Porphyromonas_uenonis_kamD",482.1,"NZ_KI535308.1_93/1-260","Porphyromonas_uenonis_kamE",423.6,"NZ_KI535308.1_87/1-272","Porphyromonas_uenonis_kce",629.4,"NZ_KI535308.1_88/2-347","Porphyromonas_uenonis_kdd","lysine"
"1174","Romboutsia_lituseburensis",355.1,"NZ_FNGW01000001.1_129/2-212","Romboutsia_lituseburensis_atoA",350.7,"NZ_FNGW01000001.1_130/1-215","Romboutsia_lituseburensis_atoD",701.2,"NZ_FNGW01000003.1_235/3-373","Romboutsia_lituseburensis_bcd",233.6,"NZ_FNGW01000001.1_132/1-125","Romboutsia_lituseburensis_kal",690.9,"NZ_FNGW01000001.1_127/4-410","Romboutsia_lituseburensis_kamA",971.5,"NZ_FNGW01000001.1_124/1-517","Romboutsia_lituseburensis_kamD",455.7,"NZ_FNGW01000001.1_123/2-259","Romboutsia_lituseburensis_kamE",444.9,"NZ_FNGW01000001.1_131/1-272","Romboutsia_lituseburensis_kce",592.8,"NZ_FNGW01000001.1_128/2-343","Romboutsia_lituseburensis_kdd","lysine"
"1287","Tissierella_praeacuta",387.9,"NZ_UHHZ01000001.1_409/2-215","Tissierella_praeacuta_atoA",367.2,"NZ_UHHZ01000001.1_408/1-215","Tissierella_praeacuta_atoD",708.5,"NZ_UHHZ01000001.1_598/1-379","Tissierella_praeacuta_bcd",228.2,"NZ_UHHZ01000001.1_381/1-127","Tissierella_praeacuta_kal",685.4,"NZ_UHHZ01000001.1_283/2-414","Tissierella_praeacuta_kamA",986,"NZ_UHHZ01000001.1_286/1-515","Tissierella_praeacuta_kamD",460.4,"NZ_UHHZ01000001.1_287/6-251","Tissierella_praeacuta_kamE",467.1,"NZ_UHHZ01000001.1_382/1-271","Tissierella_praeacuta_kce",608.1,"NZ_UHHZ01000001.1_282/1-345","Tissierella_praeacuta_kdd","lysine"
"1297","Tumebacillus_permanentifrigoris",310.9,"NZ_QGGL01000015.1_134/4-212","Tumebacillus_permanentifrigoris_atoA",277.1,"NZ_QGGL01000015.1_133/8-218","Tumebacillus_permanentifrigoris_atoD",670.7,"NZ_QGGL01000001.1_202/1-380","Tumebacillus_permanentifrigoris_bcd",211.9,"NZ_QGGL01000001.1_173/1-127","Tumebacillus_permanentifrigoris_kal",632,"NZ_QGGL01000001.1_218/19-433","Tumebacillus_permanentifrigoris_kamA",896,"NZ_QGGL01000001.1_215/4-516","Tumebacillus_permanentifrigoris_kamD",422.5,"NZ_QGGL01000001.1_214/10-257","Tumebacillus_permanentifrigoris_kamE",421.6,"NZ_QGGL01000001.1_172/1-270","Tumebacillus_permanentifrigoris_kce",542.3,"NZ_QGGL01000001.1_219/1-344","Tumebacillus_permanentifrigoris_kdd","lysine"
